Question,Answer,id
"I haven't made any calls in a while and now I'm experiencing issues with making calls, what am I supposed to do",Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw,7b7ac649
"My phone line has been inactive for months and now I'm unable to send text messages, how can I resolve this",Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw,7b7ac649
What steps should I take if I haven't used my phone line for a few months and now I'm experiencing connectivity issues,Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw,7b7ac649
"I've not been using my Econet line for months, but now I want to start using it again, what should I do",Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw,7b7ac649
How can I get my phone working again if it's been dormant for months,Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw,7b7ac649
"I am trying to borrow money from my airtime account, but I'm not allowed, Why is this?","Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit.",53986b1a
Will I be able to borrow airtime from my mobile service provider after only 3 weeks of owning the line?,"Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit.",53986b1a
How often should I top up my phone to be allowed to borrow airtime?,"Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit.",53986b1a
"I just received my line yesterday, how long must I wait before I can take out airtime on credit?","Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit.",53986b1a
"I am unable to loan airtime on this new number I got a fortnight ago, Is there anything I must do first?","Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit.",53986b1a
What options do I have to retrieve my recharge card details if I damaged it and *111# doesn't provide the necessary assistance?,"Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home.",a05eb6d2
How can I access my recharge key when *111# is not effective for me?,"Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home.",a05eb6d2
Is there an alternative method to check my recharge card details other than *111#?,"Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home.",a05eb6d2
"I've tried *111# to check my recharge key, but it's not working, what are my other options?","Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home.",a05eb6d2
"If *111# is not responding to my recharge key query, what other platforms can I use to get help?","Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home.",a05eb6d2
"I'm having trouble getting messages, what does this typically mean is causing the issue and how can I resolve it","In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#.",a44fb6d8
"I'm experiencing issues with not receiving messages, can you provide step-by-step instructions on how to troubleshoot","In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#.",a44fb6d8
"I'm trying to troubleshoot my message issues, how do I access my message center number on my mobile device","In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#.",a44fb6d8
How do I fix the issue where my phone won't receive messages due to a full mailbox,"In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#.",a44fb6d8
Can I receive messages on my device if my mailbox is full and how to correct this in case it is,"In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#.",a44fb6d8
Why am I having trouble topping up my mobile account,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card.",b141d2b8
Can you help me fix the issue of unsuccessful airtime recharges,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card.",b141d2b8
How do I troubleshoot failed prepaid top-up transactions,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card.",b141d2b8
What steps should I take if my mobile recharge is not going through,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card.",b141d2b8
Why is my prepaid phone recharge voucher not being accepted,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card.",b141d2b8
What could be the reason behind my failed attempts to make phone calls from my phone?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.,bc6f0e68
Why am I unable to connect calls despite having trouble with my Econet services?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.,bc6f0e68
Is there a specific issue with my phone or account that prevents me from making outgoing calls?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.,bc6f0e68
What steps can I take to resolve the issue of unsuccessful calls on my Econet number?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.,bc6f0e68
Can I resolve the issue with failed calls on my Econet line through an online platform or do I have to contact support?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.,bc6f0e68
What steps should I take if I've blocked my Econet line and need to unblock it?,"Hey Buddie, retrieving your PUK is very easy. All you need to do is dial *111# on any other Econet line, select option 2 and follow the prompts. My Web self-care is another option. You just need to follow this link: https://selfcare.ecocash.co.zw/ and sign in.",560e68a8
How can I retrieve my personal unblocking code for my Econet line?,"Hey Buddie, retrieving your PUK is very easy. All you need to do is dial *111# on any other Econet line, select option 2 and follow the prompts. My Web self-care is another option. You just need to follow this link: https://selfcare.ecocash.co.zw/ and sign in.",560e68a8
What's the best way to unblock my Econet line if I've entered the wrong code too many times?,"Hey Buddie, retrieving your PUK is very easy. All you need to do is dial *111# on any other Econet line, select option 2 and follow the prompts. My Web self-care is another option. You just need to follow this link: https://selfcare.ecocash.co.zw/ and sign in.",560e68a8
I'm having trouble accessing my Econet line; is there a phone number I can dial to get my unblocking code?,"Hey Buddie, retrieving your PUK is very easy. All you need to do is dial *111# on any other Econet line, select option 2 and follow the prompts. My Web self-care is another option. You just need to follow this link: https://selfcare.ecocash.co.zw/ and sign in.",560e68a8
Is there a website I can use to unblock my Econet line or get my unblocking code if I'm blocked?,"Hey Buddie, retrieving your PUK is very easy. All you need to do is dial *111# on any other Econet line, select option 2 and follow the prompts. My Web self-care is another option. You just need to follow this link: https://selfcare.ecocash.co.zw/ and sign in.",560e68a8
"I recently checked my account, but now my airtime is suddenly gone. What could have happened?","Hey Buddie, there is no need to worry. We are excited to inform you that you can now track your airtime usage in the comfort of your home. You simply need to log in or sign up on web self-care on selfcare.econet.co.zw.",0be43ad0
Can I check where my airtime went on my Econet account?,"Hey Buddie, there is no need to worry. We are excited to inform you that you can now track your airtime usage in the comfort of your home. You simply need to log in or sign up on web self-care on selfcare.econet.co.zw.",0be43ad0
How do I know if someone has been deducting airtime from my phone?,"Hey Buddie, there is no need to worry. We are excited to inform you that you can now track your airtime usage in the comfort of your home. You simply need to log in or sign up on web self-care on selfcare.econet.co.zw.",0be43ad0
What should I do if my airtime balance just dropped sharply without my knowledge?,"Hey Buddie, there is no need to worry. We are excited to inform you that you can now track your airtime usage in the comfort of your home. You simply need to log in or sign up on web self-care on selfcare.econet.co.zw.",0be43ad0
Is there a way to find out how my airtime was used on my Econet phone?,"Hey Buddie, there is no need to worry. We are excited to inform you that you can now track your airtime usage in the comfort of your home. You simply need to log in or sign up on web self-care on selfcare.econet.co.zw.",0be43ad0
"I recently purchased a new phone line and it is yet to be operational, how long should I wait","We would like to inform you that SIM Activation takes a maximum of 24 hours from the time of purchase. If this time elapses without activation, we urge you to visit the nearest Econet Shop for assistance.",0281da65
Can you explain why my newly bought phone line is still inactive after some time,"We would like to inform you that SIM Activation takes a maximum of 24 hours from the time of purchase. If this time elapses without activation, we urge you to visit the nearest Econet Shop for assistance.",0281da65
What's the estimated time for my recently purchased service to be active,"We would like to inform you that SIM Activation takes a maximum of 24 hours from the time of purchase. If this time elapses without activation, we urge you to visit the nearest Econet Shop for assistance.",0281da65
Why is my new Econet line still showing as 'inactive' even after waiting for some time,"We would like to inform you that SIM Activation takes a maximum of 24 hours from the time of purchase. If this time elapses without activation, we urge you to visit the nearest Econet Shop for assistance.",0281da65
How long does Econet take to activate a line after purchase,"We would like to inform you that SIM Activation takes a maximum of 24 hours from the time of purchase. If this time elapses without activation, we urge you to visit the nearest Econet Shop for assistance.",0281da65
What happens to my service if I buy another bundle of the same type while the current one is still active?,Yes. Usage priority will be on the first purchased bundle and the 2nd bundle to be purchased will be used upon exhaustion or expiration of the first bundle.,2093afb7
How can I purchase the same bundle of service multiple times without my current one expiring?,Yes. Usage priority will be on the first purchased bundle and the 2nd bundle to be purchased will be used upon exhaustion or expiration of the first bundle.,2093afb7
Is it possible for me to buy a duplicate bundle before the initial bundle expires?,Yes. Usage priority will be on the first purchased bundle and the 2nd bundle to be purchased will be used upon exhaustion or expiration of the first bundle.,2093afb7
"If I buy the same plan before finishing the current one, will the new one be activated immediately?",Yes. Usage priority will be on the first purchased bundle and the 2nd bundle to be purchased will be used upon exhaustion or expiration of the first bundle.,2093afb7
Can I buy another package of the same type before using up my current package?,Yes. Usage priority will be on the first purchased bundle and the 2nd bundle to be purchased will be used upon exhaustion or expiration of the first bundle.,2093afb7
Can I buy more than one Daily Bundle plan in a single day,"For the Daily Bundles, Daily 2Mins (2 times), Daily 4mins (2 times), Daily 10mins (1 time). The weekly Bundles have no limits on purchase counts",f26d775b
How many Daily Bundles can I purchase each day with the 10 minutes option,"For the Daily Bundles, Daily 2Mins (2 times), Daily 4mins (2 times), Daily 10mins (1 time). The weekly Bundles have no limits on purchase counts",f26d775b
Are there restrictions on purchasing Daily Bundle plans,"For the Daily Bundles, Daily 2Mins (2 times), Daily 4mins (2 times), Daily 10mins (1 time). The weekly Bundles have no limits on purchase counts",f26d775b
Can I purchase Daily Bundles more than the specified limit,"For the Daily Bundles, Daily 2Mins (2 times), Daily 4mins (2 times), Daily 10mins (1 time). The weekly Bundles have no limits on purchase counts",f26d775b
Is it possible to buy multiple weekly Bundles on the same day,"For the Daily Bundles, Daily 2Mins (2 times), Daily 4mins (2 times), Daily 10mins (1 time). The weekly Bundles have no limits on purchase counts",f26d775b
How does the system determine which account to use for a call when I have a bundle and a positive balance in my Main Account?,"If you are calling an Econet number, the bundle of Joy has priority but if it’s a non-Econet number, the Main Account Balance will be utilized.",4e5ff1dc
"If I make a call to a non-Econet line using the bundle of Joy, will it use my Main Account Balance?","If you are calling an Econet number, the bundle of Joy has priority but if it’s a non-Econet number, the Main Account Balance will be utilized.",4e5ff1dc
Does the type of number I'm calling affect which account is used for the call?,"If you are calling an Econet number, the bundle of Joy has priority but if it’s a non-Econet number, the Main Account Balance will be utilized.",4e5ff1dc
"If I purchase a bundle of Joy, can I choose which account to use for my calls?","If you are calling an Econet number, the bundle of Joy has priority but if it’s a non-Econet number, the Main Account Balance will be utilized.",4e5ff1dc
How do I know which account my call is being deducted from when I have a bundle and Main Account Balance?,"If you are calling an Econet number, the bundle of Joy has priority but if it’s a non-Econet number, the Main Account Balance will be utilized.",4e5ff1dc
Can I buy a Bundle of Joy package using a contract-based cellular plan,No. Postpaid lines are not eligible for bundle purchase.,dc369f9b
Is it possible to get the Bundle of Joy package on a pay-later plan,No. Postpaid lines are not eligible for bundle purchase.,dc369f9b
"I want to purchase a Bundle of Joy package, does my monthly billed plan qualify",No. Postpaid lines are not eligible for bundle purchase.,dc369f9b
Are postpaid mobile subscribers eligible to purchase the Bundle of Joy package,No. Postpaid lines are not eligible for bundle purchase.,dc369f9b
Can customers who pay their phone bill at the end of the month get a Bundle of Joy,No. Postpaid lines are not eligible for bundle purchase.,dc369f9b
What if my purchased bundle expires without me being able to use it?,No. The bundles can only be used within the period it is valid for from the time of purchase that is daily or weekly. You cannot keep the bundle for future use outside its validity period.,b92ef784
Can unused bundles be carried over to the next period?,No. The bundles can only be used within the period it is valid for from the time of purchase that is daily or weekly. You cannot keep the bundle for future use outside its validity period.,b92ef784
Is there a way to extend the validity of my bundle?,No. The bundles can only be used within the period it is valid for from the time of purchase that is daily or weekly. You cannot keep the bundle for future use outside its validity period.,b92ef784
What happens to a bundle once its daily or weekly time frame has passed?,No. The bundles can only be used within the period it is valid for from the time of purchase that is daily or weekly. You cannot keep the bundle for future use outside its validity period.,b92ef784
Can I save my bundle for later use once the period it was valid for has ended?,No. The bundles can only be used within the period it is valid for from the time of purchase that is daily or weekly. You cannot keep the bundle for future use outside its validity period.,b92ef784
Can international calls be made using the Econet bundle,"The bundles are only valid for local Econet-to-Econet calls. However, the bundle can be used if calling a number that is roaming outside the country.",3731fc9a
Does the bundle allow Econet-to-other-network calls outside the country,"The bundles are only valid for local Econet-to-Econet calls. However, the bundle can be used if calling a number that is roaming outside the country.",3731fc9a
Are calls within the country to Econet customers the only valid option,"The bundles are only valid for local Econet-to-Econet calls. However, the bundle can be used if calling a number that is roaming outside the country.",3731fc9a
Can the bundle minutes be used outside the country for Econet mobile numbers,"The bundles are only valid for local Econet-to-Econet calls. However, the bundle can be used if calling a number that is roaming outside the country.",3731fc9a
Does the location of the recipient affect the usage of the bundle minutes,"The bundles are only valid for local Econet-to-Econet calls. However, the bundle can be used if calling a number that is roaming outside the country.",3731fc9a
Can the Bundle be used to make calls to any other network?,The bundles are only valid for Econet to Econet calls only.,6db46087
Will Econet bundles allow me to contact numbers that are not part of Econet network?,The bundles are only valid for Econet to Econet calls only.,6db46087
Does my bundle include calls to other mobile networks?,The bundles are only valid for Econet to Econet calls only.,6db46087
How do I make calls to non-Econet numbers using my bundle?,The bundles are only valid for Econet to Econet calls only.,6db46087
Am I able to make calls to different networks using my Econet bundle?,The bundles are only valid for Econet to Econet calls only.,6db46087
How long does my bundle subscription remain active,The bundles have a daily and weekly validity period.,bd9faa0f
What is the time frame for the bundles to be used,The bundles have a daily and weekly validity period.,bd9faa0f
Do bundles expire after a certain period of time,The bundles have a daily and weekly validity period.,bd9faa0f
Are bundles valid for a limited number of days,The bundles have a daily and weekly validity period.,bd9faa0f
How many days does my purchased bundle last,The bundles have a daily and weekly validity period.,bd9faa0f
Is it possible to gift the bundle to someone else,Yes. The option to Purchase for Another Econet Subscriber is available.,9533c825
Can I use the bundle for someone other than myself,Yes. The option to Purchase for Another Econet Subscriber is available.,9533c825
How do I buy the bundle as a gift,Yes. The option to Purchase for Another Econet Subscriber is available.,9533c825
Is there an option to purchase the bundle for another Econet user,Yes. The option to Purchase for Another Econet Subscriber is available.,9533c825
Can someone else use the bundle I purchase,Yes. The option to Purchase for Another Econet Subscriber is available.,9533c825
Can I pay for a bundle package with EcoCash,The bundles can be purchased via Ecocash and Main Account using available airtime.,48b1bf46
Are Bundle plans available for purchase using my Main Account airtime balance,The bundles can be purchased via Ecocash and Main Account using available airtime.,48b1bf46
Can airtime from my Main Account be used to buy Bundles,The bundles can be purchased via Ecocash and Main Account using available airtime.,48b1bf46
Is there support for EcoCash when purchasing Bundle plans,The bundles can be purchased via Ecocash and Main Account using available airtime.,48b1bf46
Can Bundles be bought with available airtime from my Ecocash account,The bundles can be purchased via Ecocash and Main Account using available airtime.,48b1bf46
What happens to my minutes in the Bundle of Joy when there is a price increase?,"When prices are adjusted, only the cost of the bundle is changed but the minutes remain the same.",fee96b45
What is the effect on bundle minutes when prices are adjusted downward?,"When prices are adjusted, only the cost of the bundle is changed but the minutes remain the same.",fee96b45
Does the number of minutes in my Bundle of Joy change when prices go up?,"When prices are adjusted, only the cost of the bundle is changed but the minutes remain the same.",fee96b45
Are the minutes of usage in the Bundle of Joy plan affected by any price adjustments?,"When prices are adjusted, only the cost of the bundle is changed but the minutes remain the same.",fee96b45
How do price updates affect the amount of minutes available in a Bundle of Joy plan?,"When prices are adjusted, only the cost of the bundle is changed but the minutes remain the same.",fee96b45
How frequently are prices adjusted for the Bundle of Joy package?,Tariffs for the bundles are changed in line with the shifts in the operating environment.,eac032ba
How often should I expect changes to the Bundle of Joy rates?,Tariffs for the bundles are changed in line with the shifts in the operating environment.,eac032ba
What triggers price updates for the Bundle of Joy?,Tariffs for the bundles are changed in line with the shifts in the operating environment.,eac032ba
Can you explain the process for updating Bundle of Joy tariffs?,Tariffs for the bundles are changed in line with the shifts in the operating environment.,eac032ba
How often do I need to check the Bundle of Joy pricing for updates?,Tariffs for the bundles are changed in line with the shifts in the operating environment.,eac032ba
Are there any packages that offer discounted voice calls to specific networks?,It is a bundle that offers customers discounted on-net voice minutes. The promotional mechanics and prices are periodically reviewed and vary from time to time,f7051a25
What is the composition of the bundle of Joy and what services does it cover?,It is a bundle that offers customers discounted on-net voice minutes. The promotional mechanics and prices are periodically reviewed and vary from time to time,f7051a25
Are the discounts provided by the bundle of Joy applicable to all voice calls?,It is a bundle that offers customers discounted on-net voice minutes. The promotional mechanics and prices are periodically reviewed and vary from time to time,f7051a25
Can I enjoy discounted voice minutes by purchasing a specific voice package from your company?,It is a bundle that offers customers discounted on-net voice minutes. The promotional mechanics and prices are periodically reviewed and vary from time to time,f7051a25
Are there any particular voice packages designed specifically for on-network calls that can help me save money?,It is a bundle that offers customers discounted on-net voice minutes. The promotional mechanics and prices are periodically reviewed and vary from time to time,f7051a25
Can I request a replacement for my missing digital newspaper?,You can contact the publishing house,6491de1c
What are my options if I don't get my online newspaper?,You can contact the publishing house,6491de1c
How do I get help if my electronic newspaper doesn't arrive?,You can contact the publishing house,6491de1c
What should I do if my e-newspaper doesn't show up?,You can contact the publishing house,6491de1c
Who should I reach out to if my digital newspaper didn't come through?,You can contact the publishing house,6491de1c
What are the different duration options for my e-newspaper subscription,"You are given options from daily, weekly to monthly and quarterly depending on the selected e-newspaper",f5d4e527
Can I choose more than one subscription period,"You are given options from daily, weekly to monthly and quarterly depending on the selected e-newspaper",f5d4e527
How often can I change my subscription duration,"You are given options from daily, weekly to monthly and quarterly depending on the selected e-newspaper",f5d4e527
Do all e-newspapers offer the same subscription periods,"You are given options from daily, weekly to monthly and quarterly depending on the selected e-newspaper",f5d4e527
Are there any discounts for choosing a longer subscription period,"You are given options from daily, weekly to monthly and quarterly depending on the selected e-newspaper",f5d4e527
Is it possible for another person to access my digital newspaper subscription,"No, the e-newspaper is sent directly to you and requires your password to access it.",45711af5
Can I share my login credentials with someone else to read the online paper,"No, the e-newspaper is sent directly to you and requires your password to access it.",45711af5
How is my electronic newspaper delivered to me,"No, the e-newspaper is sent directly to you and requires your password to access it.",45711af5
Do I need to share my e-newspaper account details with others to access the content,"No, the e-newspaper is sent directly to you and requires your password to access it.",45711af5
Can my online newspaper subscription be read by multiple people at the same time,"No, the e-newspaper is sent directly to you and requires your password to access it.",45711af5
What is the usual time frame for receiving my e-newspaper delivery?,The publishing house determines the time you will receive your e-newspaper.,f387858c
When can I expect the publishing house to make my e-newspaper available?,The publishing house determines the time you will receive your e-newspaper.,f387858c
How does the publishing house decide on the delivery time for my e-newspaper?,The publishing house determines the time you will receive your e-newspaper.,f387858c
Is there a set schedule for when the e-newspaper is sent out to subscribers?,The publishing house determines the time you will receive your e-newspaper.,f387858c
What determines the timing of when I will get my e-newspaper in my inbox each day?,The publishing house determines the time you will receive your e-newspaper.,f387858c
How do I stop my subscription payments,"Yes, you can cancel at any time but there will be no refund.",0eed6379
Do I need to inform you if I want to discontinue my service,"Yes, you can cancel at any time but there will be no refund.",0eed6379
Will I receive any compensation if I cancel my subscription,"Yes, you can cancel at any time but there will be no refund.",0eed6379
At what point can I cancel my subscription if I want to,"Yes, you can cancel at any time but there will be no refund.",0eed6379
Can I change my mind after canceling my service subscription,"Yes, you can cancel at any time but there will be no refund.",0eed6379
What is the maximum number of newspapers I can subscribe to at a time with your e-newspaper service?,You can subscribe to as many e-newspapers as you want.,4cc9725e
Can I subscribe to multiple newspapers at once?,You can subscribe to as many e-newspapers as you want.,4cc9725e
Are there any limitations on the number of e-newspapers I can subscribe to?,You can subscribe to as many e-newspapers as you want.,4cc9725e
How many different newspapers can I sign up for through your service?,You can subscribe to as many e-newspapers as you want.,4cc9725e
Is there a restriction on the quantity of newspapers I can subscribe to in a single transaction?,You can subscribe to as many e-newspapers as you want.,4cc9725e
What are the options available for selecting an online newspaper?,"Yes, you can choose the e-newspaper from the lists provided.",29c5d7f0
How do I pick a specific e-newspaper title to subscribe to?,"Yes, you can choose the e-newspaper from the lists provided.",29c5d7f0
Is there an option for customizable newspaper delivery?,"Yes, you can choose the e-newspaper from the lists provided.",29c5d7f0
Can I select multiple e-newspapers for my account?,"Yes, you can choose the e-newspaper from the lists provided.",29c5d7f0
Are there any restrictions to choosing an e-newspaper for my subscription?,"Yes, you can choose the e-newspaper from the lists provided.",29c5d7f0
What platforms can I use to receive my subscribed newspaper?,This will depend on what you will have chosen during registration. Your e-newspaper will be sent to your email or WhatsApp.,67ffc6df
Is it possible to receive my newspaper through social media?,This will depend on what you will have chosen during registration. Your e-newspaper will be sent to your email or WhatsApp.,67ffc6df
Can I get my newspaper through email and another messaging app?,This will depend on what you will have chosen during registration. Your e-newspaper will be sent to your email or WhatsApp.,67ffc6df
What if I forgot where I signed up to receive the e-newspaper?,This will depend on what you will have chosen during registration. Your e-newspaper will be sent to your email or WhatsApp.,67ffc6df
Are there other options to receive my newspaper besides the ones chosen during signing up?,This will depend on what you will have chosen during registration. Your e-newspaper will be sent to your email or WhatsApp.,67ffc6df
How can I renew or pay for my e-newspaper subscription,You pay using Ecocash.,378b9bc6
What payment methods do you have for digital products?,You pay using Ecocash.,378b9bc6
Can I pay for my e-newspaper renewal online,You pay using Ecocash.,378b9bc6
What is the permitted payment method for e-newspaper purchases,You pay using Ecocash.,378b9bc6
Are there any digital payment options available for e-newspaper subscribers,You pay using Ecocash.,378b9bc6
How do I sign up for the digital newspaper service,You dial *185# and follow the instructions,395b2796
What steps do I take to subscribe to the online newspaper,You dial *185# and follow the instructions,395b2796
Can you walk me through the process of enrolling in the e-newspaper service,You dial *185# and follow the instructions,395b2796
How do I get started with the electronic newspaper subscription,You dial *185# and follow the instructions,395b2796
What is the procedure for registering for the newspaper's electronic edition,You dial *185# and follow the instructions,395b2796
How do I obtain proof of my most recent transaction?,We are pleased to inform you that you can now view your mini statement via EcoCash self care by following this link https://selfcare.ecocash.co.zw/portal/.,1b461a42
What alternatives do you offer for accessing transaction details?,We are pleased to inform you that you can now view your mini statement via EcoCash self care by following this link https://selfcare.ecocash.co.zw/portal/.,1b461a42
Is it possible to have my transaction history resent to me?,We are pleased to inform you that you can now view your mini statement via EcoCash self care by following this link https://selfcare.ecocash.co.zw/portal/.,1b461a42
Can I view details of my last transaction somewhere on your platform?,We are pleased to inform you that you can now view your mini statement via EcoCash self care by following this link https://selfcare.ecocash.co.zw/portal/.,1b461a42
Is there a self-service option to check the status of my transactions?,We are pleased to inform you that you can now view your mini statement via EcoCash self care by following this link https://selfcare.ecocash.co.zw/portal/.,1b461a42
"I paid some money into my wallet but it is not reflecting on my bank statement, what could be the issue?","For any failed Bank to Wallet transaction, kindly consult your bank for assistance. In the case of failed Wallet to Bank, visit My Web self-care: https://selfcare.econet.co.zw to log your query so that we can investigate.",e66c42e6
"My bank transfer to wallet has been delayed, do I need to contact Econet or my bank?","For any failed Bank to Wallet transaction, kindly consult your bank for assistance. In the case of failed Wallet to Bank, visit My Web self-care: https://selfcare.econet.co.zw to log your query so that we can investigate.",e66c42e6
"Is there a possibility that a wallet to bank transfer can fail, and what should I do in that case?","For any failed Bank to Wallet transaction, kindly consult your bank for assistance. In the case of failed Wallet to Bank, visit My Web self-care: https://selfcare.econet.co.zw to log your query so that we can investigate.",e66c42e6
"I attempted to transfer money from my wallet to my bank account but it says it was not successful, what are my next steps?","For any failed Bank to Wallet transaction, kindly consult your bank for assistance. In the case of failed Wallet to Bank, visit My Web self-care: https://selfcare.econet.co.zw to log your query so that we can investigate.",e66c42e6
Where can I report a failed wallet to bank transfer so that I can get help resolving the issue?,"For any failed Bank to Wallet transaction, kindly consult your bank for assistance. In the case of failed Wallet to Bank, visit My Web self-care: https://selfcare.econet.co.zw to log your query so that we can investigate.",e66c42e6
