Question,Answer
How many Personal Accident Policies can an individual have?,An individual can have only ONE (1) Personal Accident Policy.
Can I be on EcoSure Personal Accident Cover only and not on EcoSure Funeral Cover?,"Unfortunately, not, you need to first register on any of the EcoSure Funeral Cover packages first for you to be able to register on EcoSure Personal Accident Cover."
What is accidental disability or disability due to accident,"Accidental Disability refers to permanent loss of one or both hands or feet, or the complete and irrecoverable loss of sight in one or both eyes of the Customer arising from accidental cause(s) independent of any other cause."
What is accidental death or death due to accident?,"Death by Accident means an unforeseeable and unintentional event that occurs after the Commencement Date and which, in an external and visible manner, independently of any other cause, directly results in the death of the Insured"
Why do I need EcoSure Personal Accident Cover?,EcoSure Personal Accident Cover will provide financial assistance to your family in the event of your accidental death or the accidental death of a loved one covered by EcoSure Personal Accident Cover. It also provides finance assistance to you in the event that you are permanently disabled due to accident.
What is the EcoSure Personal Accident Cover?,EcoSure Personal Accident Cover is a policy focused on providing life assurance cover that entitles a promised amount and/or benefit determined by the Policy Package to be paid out in the event accidental death or permanent disability of yourself or of your a loved one due to accident. The promised amount and or benefits is paid ONLY in the event of accidental death or disability due to accident.
How do I get in touch with Econet Life if I have any queries and/or need any clarification on the product?,You can to dial 311 or email us atecosureoperations@econet.co.zw
What is required for one to submit a claim in the event of death of a loved one?,The following are the claim requirements:
"If a society skips 2 months of premium payment, can they pay for the arrears and avoid the additional 2 months waiting period added.","No, we don’t pay premiums for arrears. We only accept advance premium payments only."
What happens if our society skips premium payments for one month?,Any skipped premium payment will attract a waiting period. If you skip as a group for a month you are given an additional 1 month waiting period. Skipping premiums for more than 3 consecutive months will result in the society being de-registered and closed on EcoSure.
Can monthly premium payments for Burial Societies be paid in instalments?,"No, all burial society payments should be paid in full and at once on or before the 10th day of every month. No part-premium payments are allowed."
What about Corporates?,Deductions are made from payroll or the corporate can pay on behalf of its employees. Payments are submitted to EcoSure by the HR department by a deposit of funds into the following Steward Bank account:Steward BankEMMT Trust account101 Kwame Nkrumah BranchA/c 1000392142Reference Code 92809Indicate Name of Company
How do members pay their premiums?,
How many members can be covered in a Burial Society?,A Burial Society needs to have a minimum of 20 members to be registered. There is no limit to the number of members that can join the Burial Society.
"In the event that we want to add or remove members on our Burial Society, what should we do?",Any additions or removals and corrections of the society`s membership should be submitted to the nearest Econet Shop on or before the 1st day of each month. The executive should fill in the changes on the Additions and removals form and sign – off before submission.
Can I add my grandparents or parents above the age of 70 in the burial society?,"Yes, it is possible to add them. They will only be eligible to the register for EcoSure Lite, Basic or Standard Packages with a 9 months NCE period. All members above the age of 70 will have limited benefits."
Is it mandatory for every society to have its own Merchant Account?,"Yes, it is, the merchant account is the medium of payment for both monthly premiums and Claim pay-outs in the event of a claim."
How many Burial Societies can one join?,"A Burial Society member whether as a Policy Holder or Dependant can be covered by only one Burial Society except where a special waiver has been sought from the insurer. Should it be later discovered that a member is registered by another Burial Society, claims shall be paid for the policy registered first only and Premiums paid for any latter Burial Societies shall be forfeited."
What are the requirements for one to register as a Society on EcoSure?,The following are the application requirements for Societies or Groups:
What is a Burial Society?,An EcoSure Burial Society is a group of people formally organised with the sole purpose of assisting each other in the event of death of one of their members or a of a member’s Dependant. The Burial Society is approved and registered by the Insurer and which an Insured is a member of. It is specifically provided that the Insured’s Burial Society will assist with burial arrangements and logistics as provided in the Burial Society’s constitution.
If my policy is not up to date will I get a fraction of the pay-out?,"Unfortunately, the policy will only pay-out policy holders who are paid up at the time of death. We urge you to ensure that your policy is paid up at all times and will send you regular reminders before your policy expires."
Are there any other means of payment other than cash?,"For the convenience of you our valued customer, the EcoSure system is linked directly to the EcoCash system to enable you to make payment from anywhere at any time."
Does the policy mature?,The EcoSure is a life assurance policy which pays out/ matures upon the death of the policy holder.
Are there any policy documents?,EcoSure is a mobile based life assurance policy where all policy details are stored on the mobile phone. Your mobile number identifies all policy holders in our system and enables playouts to be made upon notification of the death of a policy holder.
Does the EcoSure Policy mature?,The policy does not mature and one pays his or her premiums till death.
I did not receive a confirmation message after I made a payment. How do I know my I am covered?,"We may experience systems challenges from time to time that may affect delivery of confirmation message. To check the status of your policy dial *900# enter your EcoCash PIN, select view policy. The system will indicate the status of your policy."
How do I downgrade or upgrade from a policy?,"You can upgrade or downgrade your policy from your mobile phone a maximum of two times in a year after your waiting period expires. To change your policy dial*900# and enter your EcoCash PIN, selectManage Policy.Select the plan you want to change to. Confirm the plan and the premiums. You will receive an SMS confirming the change in plan and the new waiting period. Normal NCE periods will apply for whatever package you apply for. Accidental death will be paid out according to the new package."
Can my line be re-used by a different person should I die?,"Yes, a new person can register their own policy using your line with their ID particulars."
How will you know that I am dead?,Your beneficiary and/or family members can visit any Econet Service Center or EcoSure Agent to make the claim. The following documents are required to process the claim:
Are there any exclusions where a claim is not payable?,The following exclusions apply:
What happens if I have a policy but die just after my funeral cover has lapsed?,The claim will be declined. You will need to ensure that your premium payments are up to date all the time.
What is the turn-around time for claims?,Claims can be submitted at all Econet Shops or EcoSure Funeral partners’ outlets. Claims must be submitted within 48 hours of death to ensure processing within reasonable time. Claims submitted after 48 hours of death will take no less than one week.
Am I covered no matter how I die?,"No, you will not be covered if your death is as a result of the following:"
What happens if I am covered and I die outside of Zimbabwe?,So long as you were resident in Zimbabwe when you registered and premiums are up to date your Funeral Cover is valid regardless of where you die.
Can I change my beneficiary?,"Yes, it is possible to change your beneficiary. In fact, it is very important you review your beneficiary on a regular basis because overtime your circumstances change e.g. your chosen beneficiary may have passed away. One is allowed to add or remove a beneficiary for a maximum of 3 times within a year."
Can I leave the death benefit to anyone other than the specified beneficiary i.e. charitable organisations?,"No, you can only leave the death benefits to an Individual, Burial Society or a Funeral service provider you have selected as the beneficiary."
What happens if I did not appoint a beneficiary? Will my family members be able to make a claim in the event of my death and receive the benefit?,Where no Beneficiary is specified the benefit will be paid to your spouse. If there is no spouse the benefit will be paid to a beneficiary nominated by three relatives after submission of ID’s with the same surname. All documents are to be submitted to your nearest Econet Shop or EcoSure Agent which includes Funeral Service Providers who have partnered with EcoSure.
Can a minor appointed as a beneficiary make a claim?,"A minor above the age of 16 with an active Econet SIM card which is also registered on EcoCash can be appointed as a beneficiary. However, if the beneficiary is still below the age of 18, the guardian upon proof of guardianship can claim on behalf of a minor."
Does the beneficiary get to know that he is the beneficiary?,"It is advisable to tell the beneficiary so that in the event of your death they can make a quickly submit the claim for processing. However, it is up to you to decide how you advise the beneficiary about the policy."
Who can I register to be a Beneficiary?,"A beneficiary can be any individual known to you whom you trust, a Funeral Service provider or a Burial Society."
Can I have more than one beneficiary?,"You can nominate only nominate one Beneficiaries. However, you can also opt to have services from any of our Funeral Service Providers instead of a cash pay-out via EcoCash."
What is a beneficiary?,A beneficiary is the Individual or an EcoSure registered Entity (Funeral Service Provider or Burial Society) nominated by you to receive the benefit of the policy in the event of your death or the death of a loved one covered on EcoSure Funeral Cover. An individual selected as a Beneficiary must have an active Econet SIM card that is also registered on EcoCash.
"Under the Thwala Sonke, how many family members can I add and can I add my extended family.",The Thwala Sonke option allows you to add as many spouses as you have and your extended family as your dependants. All dependants added should be below the age of 70.
Can I pay premiums for other people who are not my immediate Dependants?,"Yes, one has an option of sponsoring premiums of their loved ones. Your loved one must be registered on EcoSure in their individual capacity. Thereafter you have to either:Sponsor them once off by dialling *900#, entering your EcoCash PIN, selectingMake payment –Other accountfor one, three, six, nine or twelve months or; have their premiums automatically deducted from your wallet monthly by dialling *900#, entering your EcoCash PIN, selectingAuto Sponsor. Confirmation means premiums of your loved ones will now be collected directly from your EcoCash wallet monthly."
How much will my Dependants be covered for?,Your whole family will be on the same package as you are with the same sum assured. Premiums will be deducted per head e.g. if a customer is on the Basic Package ($4) and they add a spouse the new monthly premium will now be $8 ($4 for the policyholder and $4 for the Dependant spouse).
How can I register my Dependants?,"You register a Dependant by dialling *900#, entering your EcoCash PIN and selecting option 5- Thwala Sonke and follow the instructions thereafter. You must ensure that you have all the following information at hand:"
What is a Dependant?,A Dependant is a person whom the Insured has a legal duty to support. For purposes of these guidelines and the Burial Society EcoSure Funeral Cover these are the Insured’s extended family members who are;
Should I disclose the Policy details to my spouse?,It is up to you to decide whether to disclose the information.
"If I lose my SIM card, can I have my policy transferred to my new SIM card?","Yes. Your policy can be transferred to your new SIM card. However, you will need to advise Econet as soon as possible to ensure that you do not lose cover should premiums not be paid."
Will I be issued with any documentation for my policy?,"No documents are issued for this product. However, should you require a print out of your policy you can get this at any Econet Service Centre countrywide."
Should I register again if I want to reinstate my lapsed policy?,"Registration details are sent only once. To reinstate your lapsed policy, you just have to deposit cash into your EcoCash wallet or initiate payment through the EcoSure menu. An exclusion due to death by natural causes will be applied in the event of a claim depending on the length your policy had lapsed up to a maximum of three (3) months. A policy cannot be reinstated if premiums have been skipped for three (3) consecutive months."
What happens if I do not pay the premium?,You must make sure you have money in your EcoCash wallet to cover the monthly premium. If funds are not available your policy will lapse and you will no longer be covered.
When does my Policy become active?,"Your Policy becomes active once your first premium has been deducted from your EcoCash wallet. You have 30 days from registration to cash-in to your wallet and activate your policy. Should you exceed 30 days after registration without doing so the registration will fail and you will have to start the registration process again. Once you have registered and paid the initial premium, the system will send you an SMS confirming the policy commencement date and the next premium due date."
How do I register for EcoSure Funeral Cover using my mobile number?,"To register for EcoSure Funeral Cover on your mobile number simply dial *900#, enter your EcoCash PIN and follow the instructions thereafter. You must ensure that you have sufficient funds in your EcoCash account to cover your first premium and activate your policy."
When should I make a cash deposit into my EcoCash wallet for the premium renewal to be affected in that month?,You must ensure that you have paid your monthly premium by the 1st of every month. To do so you must ensure that you have deposited cash into your EcoCash wallet any time from the 20th of the month for the premium due the 1st of the next month. You have until the 10th of the next month to ensure that your policy remains active. If you do not pay by the 10th of the month your policy will lapse.
Will I incur any additional charges on EcoSure?,Normal EcoCash charges apply for all deductions made from your EcoCash wallet towards your EcoSure Funeral Cover premium payment.
How do I pay my monthly EcoSure Premiums?,An automatic deduction will be done through your EcoCash wallet as soon as you register and monthly as from the 25th of every month to the 10th of the following month. You can initiate payment through the EcoSure menu or payment can be done by a sponsor who pays the premium on your behalf through his/her EcoCash wallet.
What are the requirements for one to register as an Individual Policyholder on EcoSure on their mobile phone?,"For one to register for EcoSure Funeral Cover on their mobile number, one must have:"
"Can I register for EcoSure, if I have an existing funeral policy with another Funeral service provider?","Yes, you can register for EcoSure Funeral Cover in addition to any other funeral policy you may have. A cash pay-out will be done via EcoCash to your Beneficiary in the event of your death or the death of a loved one covered by EcoSure Funeral Cover."
Why do I need EcoSure Funeral Cover?,EcoSure Funeral Cover will provide financial assistance to your family in the event of your death or the death of a loved one covered by EcoSure Funeral Cover.
What is EcoSure Funeral Cover?,EcoSure Funeral Cover is a product focused on providing funeral assurance cover that entitles a promised amount and or benefit determined by the Policy Package to be paid out in the event of death of your death or the death of a loved one covered by EcoSure Funeral Cover.
How much does it cost to open an EcoCash account?,Registration for EcoCash is completely FREE.
Is a photocopy of my passport or ID sufficient to register or perform cash transactions at an Agent?,No. We need to see your original ID or passport.
Do I need to have a minimum amount in my account like some banks require?,No. Your EcoCash account has no minimum balance; you can fund your account in line with your requirements.
Do I need to pay any monthly service charges for having an EcoCash account?,"No, there is no monthly service charge. EcoCash charges you on a pay-per-transaction basis, so you’re only charged for the transactions you have initiated."
Does EcoCash work across networks?,"Only Econet customers can register for EcoCash. However, you can send money to someone who isn’t an Econet customer."
Why is it important to present my ID when I want to make an EcoCash cash-in on my account?,"This is done for security reasons (to protect you, the customer) and to prevent unauthorized individuals from accessing your money."
Will my transactions be limited to the Agent store where I registered?,No. You will be able to carry out transactions at any EcoCash Agent store.
How safe is my money?,"Very safe! Your money is not resident on your SIM card but on your EcoCash account which no one can access without your PIN. Please do not disclose your PIN to anyone, including family and friends."
Can I use my Econet airtime to top-up my EcoCash account?,"No, you cannot buy EcoCash value using airtime. However, you can use your EcoCash value to buy Econet prepaid airtime for your own or another Econet subscriber’s phone. Econet subscribers do not need to be registered for EcoCash to receive airtime from you. You can top-up a minimum of $ 0.10 and maximum $ 100 per day for yourself or another Econet subscriber."
Can I top up a number that is not an Econet number?,"No. At present, you can only buy airtime for Econet numbers."
Is it possible to top-up unregistered users?,"Yes, you can top-up any Econet pre-paid number using your EcoCash account but you cannot top-up any other network."
Can I buy airtime through EcoCash if I am out of the country?,Yes. As long as there is EcoCash value in your account and you have roaming on your line.
I already have a bank account. Can I access it using EcoCash?,"Yes. Although EcoCash is completely separate to any other account you may have, you can now link your mobile number to your current bank account. This means that you will be able to access/transfer the funds in your bank account back and forth via your EcoCash account. To do so, you will need to visit your bank and fill out the registration form to synchronize both accounts."
How do I link my bank account?,Visit your bank to complete & sign an Indemnity Form with the following information: Find out morehere.
Will I be able to link my EcoCash account to more than one bank account?,You can link your EcoCash account to several banks but only one account per bank.
What do I do in case of a wrong transfer?,"Urgently contact the EcoCash customer care helpline 114, email ecocashhelp@econet.co.zw or visit your nearest Econet shop.Wrong transfers are reversible on the EcoCash system upon rigorous vetting of the sender and recipient, and only if the money has not yet been cashed out or withdrawn. Please ensure you verify details before approving any transaction."
What happens if the Econet network is down?,"You will not be able to send and receive messages if the network is down, however when the network is restored, normal services will resume."
What happens if I lose my EcoCash SIM?,"If  you lose your SIM card you do not lose your EcoCash account or account credit. Call the EcoCash help line 114 to have your account suspended immediately. After that, visit your nearest Econet shop to get a SIM replacement (make sure you take your ID with you)."
Why am I not receiving SMS confirmation for the transactions I have done?,"This could be as a result of the following: If none of the above works, there may be a delay in receiving your SMS from EcoCash. Simply call the customer service line 114 to confirm the status of your transaction or for more assistance."
Is EcoCash cheaper than a bank account?,EcoCash is cheaper to operate than a bank account because you are not charged a monthly service fee. See thetariffs hereor visit any EcoCash Agent for a copy of the tariffs.
Are there any restrictions on my EcoCash Account?,"Yes, these are thetariffs and limits."
What can you do with the EcoCash Debit Card?,Click here for all the information about the EcoCash Debit
What is an EcoCash Junior wallet?,The EcoCash Junior Wallet is an exciting innovation from EcoCash that enables children between the age of 9 and 18 to have their own EcoCash wallets. This Junior Wallet enables a child to transact with the supervision of their parent as it is associated to the parent's EcoCash wallet.
I purchased a data bundle but it’s not yet credited to my account.,"Log your query on your self service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name and mobile number"
"Hi, I just purchased my daily bundles and they have exhausted though I haven’t used them much.","We would like to inform you that all our bundles are usage based and you can now track your data, airtime or SMS usage via My Web self-care. You just need to follow this link: https://selfcare.econet.co.zw/ and register."
Can you send me data settings to my phone?,"Send an SMS “Device Type” followed by “Settings” for example, “Android Settings” to 222 to receive manual settings for phone"
I have WhatsApp bundle but am failing to make an App call?,"Please note that you cannot make calls using the WhatsApp bundle. In order to make calls, you will need Data bundles."
I have not used my line for about 3 months now and I am failing to make calls or send messages?,Recharge your airtime using a physical recharge card and hard reset your device. Should the problem persist do not hesitate to log your query on My Web self-care: https://selfcare.econet.co.zw
I bought my line last month and I am failing to borrow airtime. What should I do?,"Please note, in order to borrow airtime, your line has to be active for 3 months after the day of purchase. you also need to recharge more often to be eligible for credit."
"I over-scratched my recharge card, and I have tried *111# but I still haven’t been helped.","Dear valued customer, we are pleased to inform you that we now have several platforms other than *111# where you can check your recharge keys at the comfort of your home."
I am failing to receive messages. How can this be fixed?,"In most cases, you must consider deleting other messages because your mailbox might be full. You must also check your message center number. For most devices, you find message center number under message settings. Enter the digits +263770010502. For Iphones, you need to dial **5005*7672*+263770010502#."
"l bought airtime for a wrong number, can this be reversed?","Please note that whenever you send airtime or bundles to the wrong number, we are only able to perform reversal if the bundle or airtime has not been used. We strongly urge all our valued customers to take extra causion when making such transactions."
I’m failing to recharge my phone. What can I do?,"Kindly verify if the recharge keys you are entering are correct. You are free to log your query on My Web self-care: https://selfcare.econet.co.zw stating the serial number, batch number and 5 consecutive visible keys on your recharge card."
I am failing to make calls. Can this be fixed?,Sorry you have had such an experience. May you check if you are eligible to make the call by inquiring your airtime balance. Kindly log your query on your self service platform that is https://selfcare.econet.co.zw under “My Queries” providing your full name and mobile number after confirming that you are eligible to make the call.
I have blocked my line. How can I retrieve my PUK?,"Hey Buddie, retrieving your PUK is very easy. All you need to do is dial *111# on any other Econet line, select option 2 and follow the prompts. My Web self-care is another option. You just need to follow this link: https://selfcare.ecocash.co.zw/ and sign in."
My airtime balance just disappeared mysteriously. Can you help me?,"Hey Buddie, there is no need to worry. We are excited to inform you that you can now track your airtime usage in the comfort of your home. You simply need to log in or sign up on web self-care on selfcare.econet.co.zw."
How do I buy or check my SMS bundles?,"No problem! You just dial *140#, select option 1 and choose the option which serves you."
I bought a line. Why is it still inactive?,"We would like to inform you that SIM Activation takes a maximum of 24 hours from the time of purchase. If this time elapses without activation, we urge you to visit the nearest Econet Shop for assistance."
Can I buy the same bundle before the first one expires?,Yes. Usage priority will be on the first purchased bundle and the 2nd bundle to be purchased will be used upon exhaustion or expiration of the first bundle.
How many times can I purchase the Bundle of Joy per day?,"For the Daily Bundles, Daily 2Mins (2 times), Daily 4mins (2 times), Daily 10mins (1 time). The weekly Bundles have no limits on purchase counts"
"If I purchase a bundle and I have a positive balance in my Main Account, which account has priority for a call?","If you are calling an Econet number, the bundle of Joy has priority but if it’s a non-Econet number, the Main Account Balance will be utilized."
Can I purchase a Bundle of Joy using a Postpaid line?,No. Postpaid lines are not eligible for bundle purchase.
"If I purchase the bundle and I do not use it, can I still use it after the validity period has lapsed?",No. The bundles can only be used within the period it is valid for from the time of purchase that is daily or weekly. You cannot keep the bundle for future use outside its validity period.
Can I call outside the country using the bundle?,"The bundles are only valid for local Econet-to-Econet calls. However, the bundle can be used if calling a number that is roaming outside the country."
Can I call other networks using the Bundle?,The bundles are only valid for Econet to Econet calls only.
What is the validity of the bundles?,The bundles have a daily and weekly validity period.
Can I purchase the bundle for another person?,Yes. The option to Purchase for Another Econet Subscriber is available.
Can I purchase the Bundles on Ecocash?,The bundles can be purchased via Ecocash and Main Account using available airtime.
When prices change will this affect the minutes available in the Bundle of Joy?,"When prices are adjusted, only the cost of the bundle is changed but the minutes remain the same."
How often do you make price changes on the Bundle of Joy?,Tariffs for the bundles are changed in line with the shifts in the operating environment.
What is a bundle of Joy?,It is a bundle that offers customers discounted on-net voice minutes. The promotional mechanics and prices are periodically reviewed and vary from time to time
What happens if I do not receive my e-newspaper?,You can contact the publishing house
How long is the subscription period?,"You are given options from daily, weekly to monthly and quarterly depending on the selected e-newspaper"
Can someone else receive and read my e-newspaper?,"No, the e-newspaper is sent directly to you and requires your password to access it."
What time will I receive the e-newspaper?,The publishing house determines the time you will receive your e-newspaper.
Can I cancel my subscription?,"Yes, you can cancel at any time but there will be no refund."
How many newspapers can I subscribe to at once?,You can subscribe to as many e-newspapers as you want.
Can I choose which newspaper I want to receive?,"Yes, you can choose the e-newspaper from the lists provided."
Can I change my registration details?,"Yes, you can update your details at any time by dialing *185#."
How will I receive my e-newspaper?,This will depend on what you will have chosen during registration. Your e-newspaper will be sent to your email or WhatsApp.
How do I pay for e-newspaper?,You pay using Ecocash.
How do I register for e-newspaper?,You dial *185# and follow the instructions
What is e-newspaper?,An electronic newspaper which you receive via email or WhatsApp.
Can you assist me with resending a confirmation of the last transaction l made?,We are pleased to inform you that you can now view your mini statement via EcoCash self care by following this link https://selfcare.ecocash.co.zw/portal/.
"l made a wallet to bank transfer but my bank was not credited, please assist?","For any failed Bank to Wallet transaction, kindly consult your bank for assistance. In the case of failed Wallet to Bank, visit My Web self-care: https://selfcare.econet.co.zw to log your query so that we can investigate."
Please assist me with my EcoCash history for this month.,Please note that you can now check your EcoCash statement on the EcoCash selfcare platform by following this link: https://selfcare.ecocash.co.zw/portal/
My EcoCash has been barred,This could be as a result of money that could have been sent to you by mistake or you entered the wrong pin.
"I made a cash out to the wrong agent, please assist.","Good day, Kindly log in to your self-service platform, https://selfcare.ecocash.co.zw and initiate the reversal."
I tried to buy airtime using EcoCash. My money was deducted but I don’t have airtime,"Dear Valued customer, please note that we sometimes face system challenges which might result in your transaction failing to go through."
I tried to buy goods using Ecocash but the transaction failed although money was deducted from my wallet.,"Hello, please go and collect an affidavit form from the shop you tried purchasing goods in and visit the nearest Econet shop for assistance."
"I tried to buy ZESA, my money was deducted and I didn’t receive any token?","We are happy to inform you that you can now view your token by simply dialing *151#, option 2, option 6, option 1, option 2. If you are not able to view your token, kindly log your query on My Web self-care: https://selfcare.ecocash.co.zw so that we investigate the matter. Please note also that reconciliations after failed ZESA payment usually have a turn around period of 72 working hours."
"I have reached my Ecocash monthly limit, how can I extend my limit?","To extend your limit please link your wallet to your bank. If you have already done that, kindly wait for the following month to transact again."
Is it possible to convert any bundle to voice airtime?,"Yes! conversion of any bundle to voice airtime is possible but, only if the bundle has not been used."
I borrowed once but Kashagi is making multiple deductions on my EcoCash,"Please note that we are still improving our Kashagi service and we sincerely regret any inconvenience. If you encounter this challenge, kindly log on your query on My Web Self-care: https://selfcare.econet.co.zw/."
I sent money to the wrong person. How do I get it back?,We are pleased to inform you that you can now initiate EcoCash reversal at the comfort of your home via EcoCash self-care. Follow this link and sign in or register to initiate the reversal: https://selfcare.ecocash.co.zw/.
I sent money to the wrong Merchant. How do I get it back?,"We urge you to visit the nearest Econet shop with your national ID and request for a dispute claim form. After submitting the form, the reversal will be done soon after reconciliations are completed."
How do I register for EcoCash?,"In order for you to register for EcoCash, you simply visit any nearest Registered EcoCash agent or Econet shop with your national ID and its photocopy."
Can I reset my relative`s EcoCash pin?,Please note that we only reset the EcoCash pin provided you are the owner of the account. We do this to protect our valued customers from increasing fraudulant activities.
My money was deducted 2 times this month by EcoSure.,"Good day, Kindly log your query on your self-service platform, https://selfcare.econet.co.zw under “My Queries”. Provide your full name, mobile number, date, and amount, and explain the nature of your challenge."
What is Roaming?,"Roaming is a facility that allows mobile subscribers to travel from one country to another and use their mobile numbers in a visited network as if they are in their home country. All the services which you use whilst in your home country will work whilst roaming, such as voice, data, SMS, EcoCash, Banking services, etc."
How is roaming activated?,Roaming is available to both postpaid and prepaid customers.
Do I need to recharge before I leave the country? What happens if I run out of airtime?,"Yes, you should recharge your phone with enough credit to last you throughout your stay. However, if you run out of airtime, you can still use your usual recharge channels including airtime transfer, EcoCash and Banks. For physical cards recharging, you can only use Econet recharge cards/airtime vouchers."
How can I check my balance while roaming?,"You can check your balance through USSD messages, Dial *125#."
Do my local data usage caps work when I am roaming?,"The caps only work when using data in your home country, Zimbabwe. Self data usage management is encouraged whilst roaming."
"Can I use my bundles, such as Private WiFI, Whatsapp/Data bundle, when roaming?","No, local bundles are only for use whilst in Zimbabwe and will not work when you are abroad. You can use our smart roaming bundles available on *143#, for a few selected destinations."
Should I activate Out of Bundle Browsing while roaming?,"Yes, Data Roaming is billed from your main wallet. If Out of Bundle Browsing is deactivated, browsing will fail as billing will try to access your bundle which does not work while roaming"
What should I do when I get to my destination?,"Your phone will automatically log onto one of the networks in that country. If this does not happen automatically, you may manually select either of the available networks to enjoy your  seamless communication convenience."
Will I access network in any network outside Zimbabwe and how much will I be charged?,The list of our active roaming partners and the roaming tariffs are available on the following links:
What should I do if I can’t connect to a network while abroad?,"If you’re having trouble connecting, try restarting your device and manually selecting networks from the settings menu. Please ensure that your device is not locked to 4G/LTE. Network settings should be set to 5G Auto for the latest IPhones and 3G/2G Auto for Android devices."
How do I reach the call center for assistance whilst roaming?,"You can reach the call center by adding the international prefix, then dial it: +263111."
"How do I make a call, i.e. home call, local call and international call?","When making a call to Zimbabwe, home call, first put the country code and proceed to dial. You should prefix country codes when making calls."
Why am I charged for receiving whilst I am on roaming?,"For every call received, the customer pays for the international lag of the call whilst the one who initiated the call pays for the local leg of the call."
How do I use data roaming?,"To use data roaming, simply turn on your mobile data AND enable mobile data upon arrival abroad. If mobile data is switched off, you will not be able to browse whilst roaming. Also ensure that your APN is set to econet.net."
What is an APN and how do I set it correctly?,"An Access Point Name (APN) is a setting that connects your device to your provider’s data network. To set your APN correctly, change it to Econet.net under Mobile Network settings."
"My network connectivity is very bad, what could be causing it?","We are deeply sorry you had to experience that. We urge you to hard reset your device. If the problem persists, do not hesitate to engage us on My Web self-care: https://selfcare.econet.co.zw to log your query stating your device type and location."
What is the difference between the old bundles and the new bundles?,The difference is that there are changes that have been made to allow for more and better benefits across all the bundles and more options have been added. The changes are tabulated below
What times can I use the Off Net Allocation?,The Off net allocation works at any time of the day provided you have the balance to call.
Can I use the off-peak allocation to call off-net?,No. Off-peak allocation is valid for on-net calls only.
Can I use my Off Net Allocation to call On Net Numbers?,No. Off Net allocation will only call off net numbers in Zimbabwe.
What happens if my Off Peak Usage is depleted but I still have anytime usage?,The anytime allocation will be used even in the off peak hours if the off peak allocation is depleted.
"What happens if we get to 2300Hrs, does my consumption automatically move from anytime to off peak?","Yes. At 2300hrs, usage (Voice, Data, and SMS) will automatically move to consume the Off-Peak Allocation. At 0400hrs, usage will automatically move back to the anytime allocation."
