Question,Answer
How many Personal Accident Policies can an individual have?,An individual can have only ONE (1) Personal Accident Policy.
Can I be on EcoSure Personal Accident Cover only and not on EcoSure Funeral Cover?,"Unfortunately, not, you need to first register on any of the EcoSure Funeral Cover packages first for you to be able to register on EcoSure Personal Accident Cover."
What is accidental disability or disability due to accident,"Accidental Disability refers to permanent loss of one or both hands or feet, or the complete and irrecoverable loss of sight in one or both eyes of the Customer arising from accidental cause(s) independent of any other cause."
What is accidental death or death due to accident?,"Death by Accident means an unforeseeable and unintentional event that occurs after the Commencement Date and which, in an external and visible manner, independently of any other cause, directly results in the death of the Insured"
Why do I need EcoSure Personal Accident Cover?,EcoSure Personal Accident Cover will provide financial assistance to your family in the event of your accidental death or the accidental death of a loved one covered by EcoSure Personal Accident Cover. It also provides finance assistance to you in the event that you are permanently disabled due to accident.
What is the EcoSure Personal Accident Cover?,EcoSure Personal Accident Cover is a policy focused on providing life assurance cover that entitles a promised amount and/or benefit determined by the Policy Package to be paid out in the event accidental death or permanent disability of yourself or of your a loved one due to accident. The promised amount and or benefits is paid ONLY in the event of accidental death or disability due to accident.
How do I get in touch with Econet Life if I have any queries and/or need any clarification on the product?,You can to dial 311 or email us atecosureoperations@econet.co.zw
What is required for one to submit a claim in the event of death of a loved one?,The following are the claim requirements:
"If a society skips 2 months of premium payment, can they pay for the arrears and avoid the additional 2 months waiting period added.","No, we don’t pay premiums for arrears. We only accept advance premium payments only."
What happens if our society skips premium payments for one month?,Any skipped premium payment will attract a waiting period. If you skip as a group for a month you are given an additional 1 month waiting period. Skipping premiums for more than 3 consecutive months will result in the society being de-registered and closed on EcoSure.
Can monthly premium payments for Burial Societies be paid in instalments?,"No, all burial society payments should be paid in full and at once on or before the 10th day of every month. No part-premium payments are allowed."
What about Corporates?,Deductions are made from payroll or the corporate can pay on behalf of its employees. Payments are submitted to EcoSure by the HR department by a deposit of funds into the following Steward Bank account:Steward BankEMMT Trust account101 Kwame Nkrumah BranchA/c 1000392142Reference Code 92809Indicate Name of Company
How do members pay their premiums?,
How many members can be covered in a Burial Society?,A Burial Society needs to have a minimum of 20 members to be registered. There is no limit to the number of members that can join the Burial Society.
"In the event that we want to add or remove members on our Burial Society, what should we do?",Any additions or removals and corrections of the society`s membership should be submitted to the nearest Econet Shop on or before the 1st day of each month. The executive should fill in the changes on the Additions and removals form and sign – off before submission.
Can I add my grandparents or parents above the age of 70 in the burial society?,"Yes, it is possible to add them. They will only be eligible to the register for EcoSure Lite, Basic or Standard Packages with a 9 months NCE period. All members above the age of 70 will have limited benefits."
Is it mandatory for every society to have its own Merchant Account?,"Yes, it is, the merchant account is the medium of payment for both monthly premiums and Claim pay-outs in the event of a claim."
How many Burial Societies can one join?,"A Burial Society member whether as a Policy Holder or Dependant can be covered by only one Burial Society except where a special waiver has been sought from the insurer. Should it be later discovered that a member is registered by another Burial Society, claims shall be paid for the policy registered first only and Premiums paid for any latter Burial Societies shall be forfeited."
What are the requirements for one to register as a Society on EcoSure?,The following are the application requirements for Societies or Groups:
What is a Burial Society?,An EcoSure Burial Society is a group of people formally organised with the sole purpose of assisting each other in the event of death of one of their members or a of a member’s Dependant. The Burial Society is approved and registered by the Insurer and which an Insured is a member of. It is specifically provided that the Insured’s Burial Society will assist with burial arrangements and logistics as provided in the Burial Society’s constitution.
If my policy is not up to date will I get a fraction of the pay-out?,"Unfortunately, the policy will only pay-out policy holders who are paid up at the time of death. We urge you to ensure that your policy is paid up at all times and will send you regular reminders before your policy expires."
Are there any other means of payment other than cash?,"For the convenience of you our valued customer, the EcoSure system is linked directly to the EcoCash system to enable you to make payment from anywhere at any time."
Does the policy mature?,The EcoSure is a life assurance policy which pays out/ matures upon the death of the policy holder.
Are there any policy documents?,EcoSure is a mobile based life assurance policy where all policy details are stored on the mobile phone. Your mobile number identifies all policy holders in our system and enables playouts to be made upon notification of the death of a policy holder.
Does the EcoSure Policy mature?,The policy does not mature and one pays his or her premiums till death.
I did not receive a confirmation message after I made a payment. How do I know my I am covered?,"We may experience systems challenges from time to time that may affect delivery of confirmation message. To check the status of your policy dial *900# enter your EcoCash PIN, select view policy. The system will indicate the status of your policy."
How do I downgrade or upgrade from a policy?,"You can upgrade or downgrade your policy from your mobile phone a maximum of two times in a year after your waiting period expires. To change your policy dial*900# and enter your EcoCash PIN, selectManage Policy.Select the plan you want to change to. Confirm the plan and the premiums. You will receive an SMS confirming the change in plan and the new waiting period. Normal NCE periods will apply for whatever package you apply for. Accidental death will be paid out according to the new package."
Can my line be re-used by a different person should I die?,"Yes, a new person can register their own policy using your line with their ID particulars."
How will you know that I am dead?,Your beneficiary and/or family members can visit any Econet Service Center or EcoSure Agent to make the claim. The following documents are required to process the claim:
Are there any exclusions where a claim is not payable?,The following exclusions apply:
What happens if I have a policy but die just after my funeral cover has lapsed?,The claim will be declined. You will need to ensure that your premium payments are up to date all the time.
What is the turn-around time for claims?,Claims can be submitted at all Econet Shops or EcoSure Funeral partners’ outlets. Claims must be submitted within 48 hours of death to ensure processing within reasonable time. Claims submitted after 48 hours of death will take no less than one week.
Am I covered no matter how I die?,"No, you will not be covered if your death is as a result of the following:"
What happens if I am covered and I die outside of Zimbabwe?,So long as you were resident in Zimbabwe when you registered and premiums are up to date your Funeral Cover is valid regardless of where you die.
Can I change my beneficiary?,"Yes, it is possible to change your beneficiary. In fact, it is very important you review your beneficiary on a regular basis because overtime your circumstances change e.g. your chosen beneficiary may have passed away. One is allowed to add or remove a beneficiary for a maximum of 3 times within a year."
Can I leave the death benefit to anyone other than the specified beneficiary i.e. charitable organisations?,"No, you can only leave the death benefits to an Individual, Burial Society or a Funeral service provider you have selected as the beneficiary."
What happens if I did not appoint a beneficiary? Will my family members be able to make a claim in the event of my death and receive the benefit?,Where no Beneficiary is specified the benefit will be paid to your spouse. If there is no spouse the benefit will be paid to a beneficiary nominated by three relatives after submission of ID’s with the same surname. All documents are to be submitted to your nearest Econet Shop or EcoSure Agent which includes Funeral Service Providers who have partnered with EcoSure.
Can a minor appointed as a beneficiary make a claim?,"A minor above the age of 16 with an active Econet SIM card which is also registered on EcoCash can be appointed as a beneficiary. However, if the beneficiary is still below the age of 18, the guardian upon proof of guardianship can claim on behalf of a minor."
Does the beneficiary get to know that he is the beneficiary?,"It is advisable to tell the beneficiary so that in the event of your death they can make a quickly submit the claim for processing. However, it is up to you to decide how you advise the beneficiary about the policy."
Who can I register to be a Beneficiary?,"A beneficiary can be any individual known to you whom you trust, a Funeral Service provider or a Burial Society."
Can I have more than one beneficiary?,"You can nominate only nominate one Beneficiaries. However, you can also opt to have services from any of our Funeral Service Providers instead of a cash pay-out via EcoCash."
What is a beneficiary?,A beneficiary is the Individual or an EcoSure registered Entity (Funeral Service Provider or Burial Society) nominated by you to receive the benefit of the policy in the event of your death or the death of a loved one covered on EcoSure Funeral Cover. An individual selected as a Beneficiary must have an active Econet SIM card that is also registered on EcoCash.
"Under the Thwala Sonke, how many family members can I add and can I add my extended family.",The Thwala Sonke option allows you to add as many spouses as you have and your extended family as your dependants. All dependants added should be below the age of 70.
Can I pay premiums for other people who are not my immediate Dependants?,"Yes, one has an option of sponsoring premiums of their loved ones. Your loved one must be registered on EcoSure in their individual capacity. Thereafter you have to either:Sponsor them once off by dialling *900#, entering your EcoCash PIN, selectingMake payment –Other accountfor one, three, six, nine or twelve months or; have their premiums automatically deducted from your wallet monthly by dialling *900#, entering your EcoCash PIN, selectingAuto Sponsor. Confirmation means premiums of your loved ones will now be collected directly from your EcoCash wallet monthly."
How much will my Dependants be covered for?,Your whole family will be on the same package as you are with the same sum assured. Premiums will be deducted per head e.g. if a customer is on the Basic Package ($4) and they add a spouse the new monthly premium will now be $8 ($4 for the policyholder and $4 for the Dependant spouse).
How can I register my Dependants?,"You register a Dependant by dialling *900#, entering your EcoCash PIN and selecting option 5- Thwala Sonke and follow the instructions thereafter. You must ensure that you have all the following information at hand:"
What is a Dependant?,A Dependant is a person whom the Insured has a legal duty to support. For purposes of these guidelines and the Burial Society EcoSure Funeral Cover these are the Insured’s extended family members who are;
Should I disclose the Policy details to my spouse?,It is up to you to decide whether to disclose the information.
"If I lose my SIM card, can I have my policy transferred to my new SIM card?","Yes. Your policy can be transferred to your new SIM card. However, you will need to advise Econet as soon as possible to ensure that you do not lose cover should premiums not be paid."
Will I be issued with any documentation for my policy?,"No documents are issued for this product. However, should you require a print out of your policy you can get this at any Econet Service Centre countrywide."
Should I register again if I want to reinstate my lapsed policy?,"Registration details are sent only once. To reinstate your lapsed policy, you just have to deposit cash into your EcoCash wallet or initiate payment through the EcoSure menu. An exclusion due to death by natural causes will be applied in the event of a claim depending on the length your policy had lapsed up to a maximum of three (3) months. A policy cannot be reinstated if premiums have been skipped for three (3) consecutive months."
What happens if I do not pay the premium?,You must make sure you have money in your EcoCash wallet to cover the monthly premium. If funds are not available your policy will lapse and you will no longer be covered.
When does my Policy become active?,"Your Policy becomes active once your first premium has been deducted from your EcoCash wallet. You have 30 days from registration to cash-in to your wallet and activate your policy. Should you exceed 30 days after registration without doing so the registration will fail and you will have to start the registration process again. Once you have registered and paid the initial premium, the system will send you an SMS confirming the policy commencement date and the next premium due date."
How do I register for EcoSure Funeral Cover using my mobile number?,"To register for EcoSure Funeral Cover on your mobile number simply dial *900#, enter your EcoCash PIN and follow the instructions thereafter. You must ensure that you have sufficient funds in your EcoCash account to cover your first premium and activate your policy."
When should I make a cash deposit into my EcoCash wallet for the premium renewal to be affected in that month?,You must ensure that you have paid your monthly premium by the 1st of every month. To do so you must ensure that you have deposited cash into your EcoCash wallet any time from the 20th of the month for the premium due the 1st of the next month. You have until the 10th of the next month to ensure that your policy remains active. If you do not pay by the 10th of the month your policy will lapse.
Will I incur any additional charges on EcoSure?,Normal EcoCash charges apply for all deductions made from your EcoCash wallet towards your EcoSure Funeral Cover premium payment.
How do I pay my monthly EcoSure Premiums?,An automatic deduction will be done through your EcoCash wallet as soon as you register and monthly as from the 25th of every month to the 10th of the following month. You can initiate payment through the EcoSure menu or payment can be done by a sponsor who pays the premium on your behalf through his/her EcoCash wallet.
What are the requirements for one to register as an Individual Policyholder on EcoSure on their mobile phone?,"For one to register for EcoSure Funeral Cover on their mobile number, one must have:"
"Can I register for EcoSure, if I have an existing funeral policy with another Funeral service provider?","Yes, you can register for EcoSure Funeral Cover in addition to any other funeral policy you may have. A cash pay-out will be done via EcoCash to your Beneficiary in the event of your death or the death of a loved one covered by EcoSure Funeral Cover."
Why do I need EcoSure Funeral Cover?,EcoSure Funeral Cover will provide financial assistance to your family in the event of your death or the death of a loved one covered by EcoSure Funeral Cover.
What is EcoSure Funeral Cover?,EcoSure Funeral Cover is a product focused on providing funeral assurance cover that entitles a promised amount and or benefit determined by the Policy Package to be paid out in the event of death of your death or the death of a loved one covered by EcoSure Funeral Cover.
